baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2836.82292570604	5.8445673161762	0.143268783460054	40.7944227278635	0	0
ENSMUSG00000025608.9	4423.44058554572	8.30271549230127	0.196700835593838	42.2098638637475	0	0
ENSMUSG00000045545.8	4116.21616837082	9.13490912911404	0.238807752007988	38.252146558494	0	0
ENSMUSG00000047586.4	2416.0526933497	7.4279020133479	0.196845049885876	37.734766597658	0	0
ENSMUSG00000054889.10	6931.04153937849	4.65096745133195	0.113740523133858	40.8910327048377	0	0
ENSMUSG00000097767.8	4122.73768120409	6.58413883997835	0.149869025961777	43.9326191501212	0	0
ENSMUSG00000030693.10	1286.6841357651	5.43594319256892	0.145766867203432	37.2920355418116	2.20918117050748e-304	6.34981787865865e-301
ENSMUSG00000020758.15	6450.06979140858	4.26748323444966	0.114738909013859	37.1929912104551	8.85827722343822e-303	2.22785672169471e-299
ENSMUSG00000053797.10	2378.93482869751	7.99282566592273	0.216835741068401	36.8612002179169	1.93488206888867e-297	4.3255363584489e-294
ENSMUSG00000037820.15	3956.53333097538	4.03167315608521	0.110068798095433	36.628665215274	1.00050819888067e-293	2.01302249614791e-290
ENSMUSG00000024406.16	2312.05051774084	4.47745271818932	0.122944693721821	36.4184299675444	2.17501908830843e-290	3.97830764152414e-287
ENSMUSG00000056602.12	1189.79075447607	5.37163668737606	0.151901034157152	35.3627394124172	6.38785143253487e-274	1.07102975685501e-270
ENSMUSG00000047281.3	1063.70951715699	5.25902696036463	0.149409304063064	35.1987916237455	2.08649515716372e-271	3.22925250477954e-268
ENSMUSG00000037185.9	1433.84821686384	4.99753559166035	0.143446561157304	34.8390059081308	6.24709923366905e-266	8.97797404153009e-263
ENSMUSG00000027375.14	3847.64883410522	5.75311918577688	0.165775543115845	34.7042698678211	6.79242727972416e-264	9.11090912453667e-261
ENSMUSG00000026413.12	1674.19176929887	5.51212164997968	0.162195228610034	33.9844870728749	3.77646443824691e-253	4.74890403109549e-250
ENSMUSG00000031995.9	1281.3153852313	6.0082649903905	0.179479212489133	33.47610515482	1.07360913895749e-245	1.27064799269557e-242
ENSMUSG00000019102.10	4330.12372917514	3.75929233751072	0.117736460802607	31.9297209367744	1.03316726184081e-223	1.15485140601317e-220
ENSMUSG00000034282.3	1270.64331657281	6.82296656588232	0.215600183196749	31.6463857530952	8.50320807769515e-220	9.00444981701192e-217
ENSMUSG00000074796.10	897.506486810288	4.28173886490628	0.135887956245497	31.5093330064574	6.47168939423768e-218	6.51051953060311e-215
ENSMUSG00000028435.8	1003.94386703487	6.25892227643402	0.199988294150943	31.2964431393672	5.21638289490108e-215	4.99779161168618e-212
ENSMUSG00000042793.13	1010.89813595234	4.17916131747806	0.134615803338504	31.045101792166	1.32845245709819e-211	1.21493015621889e-208
ENSMUSG00000049382.10	5900.72147778001	10.8677743064674	0.354146899140133	30.6871931756406	8.4359799835653e-207	7.37964857692756e-204
ENSMUSG00000063450.14	2046.66901781899	3.45862629469848	0.112979151851936	30.6129603383035	8.22830284330971e-206	6.89806055030797e-203
ENSMUSG00000022871.13	1112.28610139755	6.6514083151629	0.22123779138148	30.0645214076192	1.4104153509048e-198	1.13510227440818e-195
ENSMUSG00000020788.15	2130.7850899165	8.78607964034784	0.294611098961738	29.8226362527126	1.98793480999732e-195	1.53835570681331e-192
ENSMUSG00000025432.11	1259.9114810059	6.46439766404267	0.218878083026569	29.5342392196389	1.04668168615008e-191	7.79971686123686e-189
ENSMUSG00000061126.5	1626.7639043609	8.16563360384288	0.276819630231637	29.4980294461417	3.05146370433055e-191	2.19269463325467e-188
ENSMUSG00000060716.7	860.925735494795	6.77122739292161	0.238732619097319	28.3632266865105	5.74956034433391e-177	3.98900531475856e-174
ENSMUSG00000003153.10	1026.4021241841	4.76653001927531	0.169321874036398	28.150704369423	2.34927382827889e-174	1.57557964749904e-171
ENSMUSG00000040703.11	1375.83987233074	7.27932236145081	0.261210539597536	27.867644133604	6.58447712111396e-171	4.27353805409073e-168
ENSMUSG00000048699.4	2471.38982413473	9.61097885717984	0.347490215946258	27.6582718480519	2.21948599468988e-168	1.39550181916126e-165
ENSMUSG00000038295.14	634.76460378176	5.23272755712969	0.190546432609972	27.4616925935346	5.03765329733216e-166	3.07144194976737e-163
ENSMUSG00000012350.15	1208.78658503227	7.69185794334839	0.282534711412025	27.2244705965747	3.33415160752925e-163	1.97303324539672e-160
ENSMUSG00000024421.16	661.669654189287	5.82578910585922	0.214736156229005	27.1299869019092	4.36188967353881e-162	2.5074634351886e-159
ENSMUSG00000048373.8	881.644825204404	7.23462519392305	0.279864770111091	25.8504319462979	2.4060423083325e-147	1.34471031232361e-144
ENSMUSG00000024331.11	737.199403670971	5.55971842194154	0.219913800995731	25.2813529517843	5.12267940776556e-141	2.78562999146603e-138
ENSMUSG00000043439.5	662.464723570717	5.18322288855534	0.205126232006582	25.2684546381616	7.10067603407119e-141	3.75962110014506e-138
ENSMUSG00000031297.14	807.961867799293	3.91271166250289	0.154883653261568	25.2622635126969	8.3049795920272e-141	4.28451767670737e-138
ENSMUSG00000018166.8	701.350590118574	6.82067939904891	0.27049038189455	25.2159775563034	2.67597877323651e-140	1.34601732293796e-137
ENSMUSG00000020911.14	1714.47605460316	3.62895513608581	0.144208197535756	25.1646938114321	9.75909277204703e-140	4.78909625789235e-137
ENSMUSG00000074227.12	756.437569633119	3.90673591161359	0.156028045706837	25.0386774628582	2.31927922485036e-138	1.11104519057117e-135
ENSMUSG00000022123.9	575.64197097359	4.74968134667661	0.189900872278711	25.0113719314868	4.59820370087427e-138	2.15153159213001e-135
ENSMUSG00000018849.6	1065.03452579918	3.63685155035022	0.145636887214609	24.9720494574357	1.23045614749624e-137	5.62654038355098e-135
ENSMUSG00000115388.2	609.949427826291	6.50441080116842	0.260543021885263	24.9648244428239	1.47413402991561e-137	6.5910170404227e-135
ENSMUSG00000074272.10	530.273156940005	4.9472368833322	0.198930294723919	24.8691979781064	1.6032564752835e-136	7.01250440928347e-134
ENSMUSG00000022218.16	1177.21697968053	8.46626113232225	0.341551864699461	24.7876296613749	1.21888730552186e-135	5.2178750185319e-133
ENSMUSG00000030494.13	533.90999396045	5.7907681314315	0.236562907969129	24.4787662662111	2.48674331308142e-132	1.04235990539996e-129
ENSMUSG00000026479.13	666.162112595831	3.26682630329037	0.135104907057812	24.1799233975453	3.61869003997761e-129	1.48587844090509e-126
ENSMUSG00000019866.15	1655.15995417441	2.95573197813853	0.122377235921287	24.1526290072415	7.00652231147692e-129	2.81942457813831e-126
ENSMUSG00000035557.9	5647.21611616162	11.8829280434367	0.493658432302032	24.0711537895224	5.01355631793439e-128	1.97789711993804e-125
ENSMUSG00000026639.18	433.834964701099	4.26906245960611	0.177982439502408	23.9858632769687	3.90595218537908e-127	1.51130303788129e-124
ENSMUSG00000038807.19	1122.5603253741	2.9684990932681	0.123831638465296	23.9720569804139	5.44194213510866e-127	2.06588444827144e-124
ENSMUSG00000029019.8	424.341536450898	5.45084621734627	0.228321042400728	23.8736042899605	5.759894332282e-126	2.14609396232433e-123
ENSMUSG00000056413.16	488.249026191889	5.94415503024565	0.254251729097823	23.3790151647647	6.98782787279736e-121	2.55627448728514e-118
ENSMUSG00000015468.14	471.247746343532	5.99047414631808	0.256834311411336	23.3242751461037	2.5147912571714e-120	9.03528573112295e-118
ENSMUSG00000063011.7	8525.88391157771	1.94749630224995	0.0838640212405083	23.2220715563454	2.72530946003981e-119	9.61986426947385e-117
ENSMUSG00000005968.14	903.746664889973	2.83205684035314	0.122285886513511	23.1593107029586	1.17135451317067e-118	4.06338841465413e-116
ENSMUSG00000046410.10	441.117409313371	4.26945487765408	0.184725618934846	23.1124134393072	3.47359103871709e-118	1.18455341862691e-115
ENSMUSG00000041607.17	443.689948177957	5.01819929197223	0.217544604210317	23.0674500532348	9.82893449052241e-118	3.29596936582185e-115
ENSMUSG00000024479.3	754.799211514643	7.38559167742703	0.321103632709964	23.0006481555382	4.59217120589961e-117	1.51466368299509e-114
ENSMUSG00000018920.11	364.333430371789	3.70675643395373	0.163717608050606	22.6411592380946	1.70500415333364e-113	5.53301347823755e-111
ENSMUSG00000042377.8	352.823095224563	4.35579449743417	0.193143894694234	22.5520692969862	1.2815122458733e-112	4.09270260110648e-110
ENSMUSG00000030513.14	1240.47511789783	2.47547875834142	0.109894261350244	22.5260057069934	2.30859917335049e-112	7.25765865122059e-110
ENSMUSG00000021118.7	402.48726613538	5.27434197042938	0.234186052976115	22.5220157366388	2.52612752750643e-112	7.81933628514299e-110
ENSMUSG00000020435.17	379.241903716881	4.6415947414871	0.206577861303197	22.4689843926429	8.34783568446162e-112	2.51820225223908e-109
ENSMUSG00000084128.10	460.026020512208	4.29875349517384	0.191321149286544	22.4687835673386	8.3856635636192e-112	2.51820225223908e-109
ENSMUSG00000026380.10	355.035443609889	4.90573584059828	0.220695918093029	22.2284847086768	1.82180775563997e-109	5.39040765345237e-107
ENSMUSG00000024011.17	390.581276369727	5.2075480757857	0.235661113337608	22.0976129749729	3.33223076872043e-108	9.71659174879059e-106
ENSMUSG00000002799.6	448.506214053788	4.58581188940657	0.207845016122038	22.0636124693698	7.07047426915912e-108	2.03225631850688e-105
ENSMUSG00000044041.4	973.3793989151	8.60655412473558	0.391398585279821	21.9892315619448	3.6511816024848e-107	1.034672871014e-104
ENSMUSG00000044017.16	444.579481556578	6.28132305263622	0.286046050693744	21.9591322355341	7.08388905734666e-107	1.97955344213632e-104
ENSMUSG00000037411.10	7339.50600745167	-2.1110265691798	0.0962603803506332	-21.9303784328534	1.33314128522537e-106	3.67435652859376e-104
ENSMUSG00000068876.16	639.841390503741	7.58093391810383	0.346429664225973	21.8830391878879	3.76872638555037e-106	1.02468614699018e-103
ENSMUSG00000038732.15	761.090147146008	2.97867791032735	0.136712427617615	21.787908840729	3.02135937492123e-105	8.10530008312201e-103
ENSMUSG00000025813.14	500.563205292743	3.09394799062719	0.142350384392189	21.7347357637128	9.63359604318404e-105	2.5503677945903e-102
ENSMUSG00000026110.15	403.080778276923	3.4914128294623	0.161005927650044	21.6849955801074	2.84284610950864e-104	7.42831996406673e-102
ENSMUSG00000056724.15	632.398131108815	3.20553375839166	0.148696154050516	21.5576104093631	4.49210184581725e-103	1.15873191202363e-100
ENSMUSG00000063727.3	1672.21548883424	-2.42179187660338	0.112397338046743	-21.5467013604559	5.68560899916428e-103	1.44803105143272e-100
ENSMUSG00000033987.16	765.805852824364	4.6920918201885	0.218816160114821	21.4430772285117	5.29912987690169e-102	1.33273116404078e-99
ENSMUSG00000003526.12	346.918215285071	4.93718205248421	0.231094473115591	21.3643450054069	2.86847880011251e-101	7.12515968620539e-99
ENSMUSG00000022665.15	16097.4462163062	-1.66685250058687	0.0782702391535488	-21.2961212155858	1.23319782322701e-100	3.02584636625945e-98
ENSMUSG00000003279.17	470.41144259722	6.64525742091253	0.313005325949785	21.2304931257899	4.99358370883812e-100	1.21049282194967e-97
ENSMUSG00000000308.14	377.309498425989	6.08311339855983	0.286609344387268	21.2244070812301	5.68385946371692e-100	1.36141967154743e-97
ENSMUSG00000033644.5	535.123140975489	7.25040656294544	0.341625281526058	21.2232728519315	5.82265528801793e-100	1.3782567575873e-97
